frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
4,5.0,[2201.0521943187496 1167.3779282528758 2783.497326285822 1739.9155118065528],[2411.14111328125 1549.39453125 2586.4248046875 1643.2598876953125],0.5940062999725342,NT51VSU,0.02767291061927053
6,3.0,[743.0388951194116 1386.4423229934052 1430.0114341469318 2011.7429205177375],[960.7556762695312 1785.720703125 1187.0596923828125 1882.858154296875],0.5521413087844849,MA13NRU,0.18350056815932692
6,5.0,[2196.237052993038 1175.8810990562258 2788.1997093297728 1758.253099955996],[2412.081298828125 1566.1168212890625 2584.758544921875 1651.787841796875],0.5130116939544678,MU51VSU,0.1840019018577606
7,5.0,[2190.9889747280317 1176.1740766579355 2790.610489471004 1763.8227565052039],[2416.36376953125 1575.383056640625 2587.357177734375 1653.531005859375],0.5799705982208252,HL51NSU,0.16902151822135472
8,3.0,[734.6443334020612 1397.6586416145851 1430.6789147953784 2030.8298585764178],[948.5392456054688 1791.7537841796875 1193.3922119140625 1893.541015625],0.43847018480300903,NA13NRU,0.42214144360987
11,3.0,[719.3434081410792 1413.582819541643 1421.786983008426 2058.1886131819238],[965.118408203125 1829.7989501953125 1152.951416015625 1913.4810791015625],0.4146605134010315,NA13NRU,0.4902721515217995
12,3.0,[710.6083358611015 1419.084966856523 1416.705695056163 2066.5472003962795],[936.0322265625 1833.368408203125 1180.0345458984375 1927.0235595703125],0.5637975335121155,NA13NRU,0.45044001914712756
13,5.0,[2196.315296153334 1195.4100779061032 2826.218362274726 1799.383404656085],[2425.800048828125 1603.93798828125 2596.780517578125 1695.6591796875],0.6259332299232483,MI51VSU,0.1256779635607708
13,3.0,[701.918352315301 1423.552041935794 1410.7906401213854 2073.1104326693767],[934.5714111328125 1837.0577392578125 1187.7198486328125 1941.4783935546875],0.49259933829307556,NA13MRU,0.1569174514113684
14,5.0,[2193.2994710764283 1199.099220864982 2818.7502479467425 1804.090617946804],[2419.308349609375 1609.794189453125 2595.051513671875 1699.14013671875],0.5642226338386536,MV51VSU,0.1594885475221307
14,3.0,[698.1074599011334 1430.868013065732 1408.5370724037248 2082.021985961815],[923.3560180664062 1844.2532958984375 1165.15771484375 1939.7545166015625],0.2794575095176697,NA13NRU,0.3986477385637712
15,5.0,[2194.145337948389 1204.574148151109 2817.122513762899 1809.9756225579094],[2426.3369140625 1619.48779296875 2594.202392578125 1699.258056640625],0.6117337346076965,MQ51VSU,0.11957168809335973
15,3.0,[693.6688513786621 1439.9992307518305 1407.0167935332852 2092.135708137368],[931.6828002929688 1857.320068359375 1162.727294921875 1949.272705078125],0.4693357050418854,NA13NRU,0.2809597572135223
17,5.0,[2195.767413577835 1213.7210000858804 2817.5485492576263 1819.3669282910096],[2424.07373046875 1635.9178466796875 2597.52685546875 1714.972900390625],0.6451510787010193,MD51VSV,0.027821735815170914
17,3.0,[688.0376002556329 1449.7047189869793 1402.958972273638 2104.744153930819],[948.6491088867188 1886.642578125 1183.0745849609375 1973.1112060546875],0.25637978315353394,NA13NRU,0.25670409896377383
18,5.0,[2199.258696417332 1221.281496419907 2821.141627782207 1828.0289912251974],[2426.18408203125 1637.4371337890625 2598.236572265625 1721.8699951171875],0.6549259424209595,ND51VSU,0.08410867003073597
18,3.0,[683.2487427064012 1458.2164459804676 1400.7607923347236 2112.3877434410015],[933.3826904296875 1884.0714111328125 1160.488525390625 1981.4395751953125],0.607006847858429,NA13NRU,0.810887987221789
20,5.0,[2201.0592785412946 1231.6790220321732 2821.931795804202 1843.7583983236486],[2431.5849609375 1642.8160400390625 2614.0869140625 1734.1893310546875],0.6619187593460083,ND51VSU,0.15645211405123777
21,3.0,[671.2371622670905 1482.417449645871 1393.9471818167724 2136.676603026338],[914.8011474609375 1907.6151123046875 1159.6072998046875 2003.8267822265625],0.5123781561851501,NA13NRU,0.3822624500169136
24,5.0,[2204.6434657614564 1252.4664102317124 2842.48828756086 1872.0854265800817],[2435.98095703125 1681.3267822265625 2619.733154296875 1763.1112060546875],0.6547299027442932,CD51VSU,0.1715260170064919
24,3.0,[660.3424729670859 1506.170760554825 1388.3616104470666 2153.3481718997873],[890.7337646484375 1930.88525390625 1159.2996826171875 2040.50830078125],0.5970008373260498,NA13NRU,0.25664087226383714
25,5.0,[2205.7708975078085 1255.861896557102 2847.373572201276 1877.3885734400953],[2434.33935546875 1686.419677734375 2611.060546875 1768.972412109375],0.6569617390632629,XT51VSU,0.07505926166495486
26,3.0,[652.4759706472266 1515.671446888487 1383.4699029794501 2156.1544148991165],[913.7166748046875 1943.1123046875 1154.029052734375 2043.4482421875],0.6414322853088379,NA13NRU,0.8995865334132909
27,3.0,[649.9763061750509 1520.525396401698 1381.8506150886249 2156.1908605583585],[874.226806640625 1953.1142578125 1130.8099365234375 2065.431396484375],0.6378337144851685,NA13NRU,0.5343479022579638
29,3.0,[645.1773175822125 1533.2349668917564 1380.2502899868216 2157.4653687719015],[886.9617919921875 1978.17919921875 1130.294677734375 2079.626220703125],0.6129290461540222,NA13NRU,0.4105573680743019
30,3.0,[643.0805785252987 1540.4679688806964 1381.0042795822192 2157.0263657078563],[859.426025390625 1985.3006591796875 1140.8763427734375 2090.173583984375],0.6038017272949219,NA13NRU,0.14971499994459164
31,3.0,[639.9584399856772 1546.565651224432 1378.9820858443018 2156.8730862591124],[875.5376586914062 1988.3624267578125 1122.7076416015625 2087.52197265625],0.5734018087387085,NA13MRU,0.33349751533855254
32,5.0,[2208.7001344307364 1278.6589242352563 2864.639454906149 1928.27452173077],[2447.90771484375 1733.7330322265625 2627.202392578125 1817.4364013671875],0.680133044719696,NJ51VSU,0.018611398897022034
32,3.0,[635.9165989910405 1554.4470778586974 1375.2161715418476 2157.381890707105],[866.95458984375 2002.74365234375 1121.724609375 2106.657470703125],0.6391874551773071,NA13NRU,0.10581885389299604
